N       Solution1       Solution2       Solution4
100     0.9261478588415424      0.0492053784195473      0.04407352913652729
150     2.0738708573146667      0.07426087786017566     0.06429905278137202
200     3.7018745739810415      0.10414635309658783     0.08422270293897971
250     6.088184490585472       0.13795618366707446     0.10686321448171582
300     8.984962474106801       0.20074586901226363     0.1198437744328873
350     12.23130995584798       0.20074586901226016     0.1458048943352233
400     15.93016579495666       0.24240441025089737     0.1605966952098123
450     20.16363957996116       0.2864779393874223      0.3426264080134134
500     25.042820754164488      0.289194800772552       0.20557584480805635
550     30.423111917180417      0.3498713717070834      0.21885827824646986
600     36.43280930108439       0.3664744135050968      0.2390838018913044
650     42.74528579268655       0.36828565442850736     0.29040229472149237
700     50.16895859080625       0.42896222536303874     0.297949131902453
750     57.48848503582937       0.44405589972490445     0.3054959690833581
800     65.9862237015365        0.49356315163162634     0.31908027600896505
850     73.47087494407795       0.5216373859446843      0.36436129909445114
900     84.49257783656932       0.5457872649236029      0.39032241899683573
950     93.4503716968249        0.5596734453364727      0.4135666775140212
1000    102.19775973647648      0.6164256609368923      0.3963598887415376
