N       Solution2       Solution4
10000   6.175727801884023       4.191211496791358
15000   9.543428425494271       6.749891174607892
20000   12.525938479390764      8.58769696490369
25000   15.675384571729234      10.804655855168432
30000   18.794341441856545      13.337072539595374
35000   22.2426422865587        15.978767426401586
40000   25.285527037902654      17.93581324415583
45000   28.79601382097574       20.032626486500504
50000   32.30317999568921       22.3362230676023
55000   35.01521140502195       24.579746824743953
60000   39.208837889711305      27.167104483847737
65000   42.87509139219825       29.219240450081507
70000   44.68723793607854       31.6514351367454
75000   48.63785626354211       34.37705085300369
80000   53.83732520770401       36.79173687740889
85000   55.29205354269617       38.86711710215884
90000   59.01505926078432       42.85969584434923
95000   62.36917557746935       43.53076060647609
100000  65.0217379098148        45.21249780387038
