N        Shell   Merge   Quick
10000    0.06989889037209575     0.057149248243547       0.03420079803371448
20000    0.15289578529765668     0.12154497829828881     0.0703049107026959
30000    0.23052385376989126     0.1912126332999462      0.10924965631661965
40000    0.35623408747458973     0.26750762684286444     0.15511848246807247
50000    0.5137177515711024      0.3382309347040824      0.19670251116782334
60000    0.5457076255146194      0.40196314603268357     0.238678975874846
70000    0.6972003011493539      0.48005640211045986     0.2884839351792312
80000    0.8722605702638564      0.5667379692704495      0.3697846009318244
90000    0.979575215190776       0.6344449536050067      0.3900653919137653
100000   1.150190089964445       0.7088692348886472      0.44003758933201986
